disaster,gender,age,survived,role
titanic,male,18.0,1.0,passenger
titanic,female,2.0,0.0,passenger
titanic,male,32.0,0.0,passenger
titanic,male,26.0,1.0,passenger
titanic,female,16.0,1.0,passenger
titanic,male,40.0,1.0,passenger
titanic,male,24.0,0.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,27.0,1.0,passenger
titanic,male,42.0,0.0,passenger
titanic,female,32.0,1.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,16.0,1.0,passenger
titanic,male,27.0,0.0,passenger
titanic,male,51.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,38.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,19.0,1.0,passenger
titanic,male,20.5,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,29.0,0.0,passenger
titanic,male,59.0,0.0,passenger
titanic,female,5.0,1.0,passenger
titanic,male,24.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,44.0,0.0,passenger
titanic,female,8.0,1.0,passenger
titanic,male,19.0,0.0,passenger
titanic,male,33.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,29.0,0.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,44.0,0.0,passenger
titanic,female,25.0,0.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,37.0,1.0,passenger
titanic,male,54.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,29.0,0.0,passenger
titanic,male,62.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,female,41.0,0.0,passenger
titanic,female,29.0,1.0,passenger
titanic,female,45.0,1.0,passenger
titanic,female,30.0,1.0,passenger
titanic,female,35.0,1.0,passenger
titanic,female,50.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,3.0,1.0,passenger
titanic,male,52.0,0.0,passenger
titanic,male,40.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,36.0,0.0,passenger
titanic,male,16.0,0.0,passenger
titanic,male,25.0,1.0,passenger
titanic,female,58.0,1.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,25.0,1.0,passenger
titanic,female,41.0,1.0,passenger
titanic,male,37.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,63.0,1.0,passenger
titanic,female,45.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,7.0,0.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,65.0,0.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,16.0,0.0,passenger
titanic,male,19.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,33.0,0.0,passenger
titanic,male,30.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,42.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,female,26.0,1.0,passenger
titanic,female,19.0,1.0,passenger
titanic,male,36.0,0.0,passenger
titanic,female,24.0,0.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,23.5,0.0,passenger
titanic,female,2.0,0.0,passenger
titanic,male,41.5,1.0,passenger
titanic,female,50.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,26.0,1.0,passenger
titanic,male,19.0,0.0,passenger
titanic,female,20.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,0.92,1.0,passenger
titanic,female,30.0,1.0,passenger
titanic,female,17.0,1.0,passenger
titanic,male,30.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,26.0,0.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,43.0,0.0,passenger
titanic,female,26.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,54.0,0.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,40.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,27.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,36.0,1.0,passenger
titanic,male,61.0,0.0,passenger
titanic,female,36.0,1.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,16.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,45.5,0.0,passenger
titanic,male,38.0,0.0,passenger
titanic,male,16.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,29.0,0.0,passenger
titanic,female,41.0,1.0,passenger
titanic,male,45.0,1.0,passenger
titanic,male,45.0,0.0,passenger
titanic,male,2.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,36.0,0.0,passenger
titanic,female,24.0,1.0,passenger
titanic,female,40.0,1.0,passenger
titanic,female,31.0,1.0,passenger
titanic,male,3.0,1.0,passenger
titanic,male,42.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,15.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,28.0,0.0,passenger
titanic,female,22.0,1.0,passenger
titanic,female,38.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,40.0,0.0,passenger
titanic,male,29.0,0.0,passenger
titanic,female,45.0,0.0,passenger
titanic,male,35.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,female,60.0,1.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,25.0,1.0,passenger
titanic,male,18.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,male,22.0,0.0,passenger
titanic,female,3.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,male,27.0,0.0,passenger
titanic,male,20.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,female,42.0,1.0,passenger
titanic,female,1.0,1.0,passenger
titanic,male,32.0,0.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,male,1.0,0.0,passenger
titanic,female,36.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,17.0,1.0,passenger
titanic,male,36.0,1.0,passenger
titanic,male,21.0,1.0,passenger
titanic,male,28.0,0.0,passenger
titanic,female,23.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,female,31.0,0.0,passenger
titanic,male,46.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,female,28.0,1.0,passenger
titanic,male,39.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,21.0,0.0,passenger
titanic,male,28.0,0.0,passenger
titanic,female,20.0,0.0,passenger
titanic,male,34.0,0.0,passenger
titanic,male,51.0,0.0,passenger
titanic,male,3.0,1.0,passenger
titanic,male,21.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,33.0,1.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,44.0,1.0,passenger
titanic,female,31.0,0.0,passenger
titanic,female,34.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,30.0,0.0,passenger
titanic,female,10.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,21.0,0.0,passenger
titanic,male,29.0,0.0,passenger
titanic,female,28.0,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,28.0,1.0,passenger
titanic,female,19.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,32.0,1.0,passenger
titanic,male,28.0,1.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,42.0,1.0,passenger
titanic,male,17.0,0.0,passenger
titanic,male,50.0,0.0,passenger
titanic,female,14.0,1.0,passenger
titanic,female,21.0,0.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,64.0,0.0,passenger
titanic,male,31.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,male,20.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,female,28.0,1.0,passenger
titanic,male,26.0,1.0,passenger
titanic,male,4.0,1.0,passenger
titanic,female,13.0,1.0,passenger
titanic,male,34.0,1.0,passenger
titanic,female,5.0,1.0,passenger
titanic,male,52.0,1.0,passenger
titanic,male,36.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,49.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,29.0,1.0,passenger
titanic,male,65.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,female,50.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,48.0,1.0,passenger
titanic,male,34.0,0.0,passenger
titanic,male,47.0,0.0,passenger
titanic,male,48.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,38.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,56.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,0.75,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,38.0,0.0,passenger
titanic,female,33.0,1.0,passenger
titanic,female,23.0,1.0,passenger
titanic,female,22.0,0.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,34.0,0.0,passenger
titanic,male,29.0,0.0,passenger
titanic,male,22.0,0.0,passenger
titanic,female,2.0,1.0,passenger
titanic,male,9.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,50.0,0.0,passenger
titanic,female,63.0,1.0,passenger
titanic,male,25.0,1.0,passenger
titanic,female,18.0,0.0,passenger
titanic,female,35.0,1.0,passenger
titanic,male,58.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,9.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,21.0,0.0,passenger
titanic,male,55.0,0.0,passenger
titanic,male,71.0,0.0,passenger
titanic,male,21.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,54.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,25.0,0.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,17.0,0.0,passenger
titanic,female,21.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,female,37.0,0.0,passenger
titanic,female,16.0,1.0,passenger
titanic,male,18.0,0.0,passenger
titanic,female,33.0,1.0,passenger
titanic,male,41.5,1.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,26.0,1.0,passenger
titanic,male,29.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,36.0,1.0,passenger
titanic,female,54.0,1.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,47.0,0.0,passenger
titanic,female,34.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,36.0,1.0,passenger
titanic,male,32.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,44.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,40.5,0.0,passenger
titanic,female,50.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,39.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,female,2.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,17.0,0.0,passenger
titanic,female,31.0,1.0,passenger
titanic,female,30.0,0.0,passenger
titanic,female,7.0,1.0,passenger
titanic,male,45.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,22.0,1.0,passenger
titanic,female,36.0,1.0,passenger
titanic,female,9.0,0.0,passenger
titanic,female,11.0,0.0,passenger
titanic,male,32.0,1.0,passenger
titanic,male,50.0,0.0,passenger
titanic,male,64.0,0.0,passenger
titanic,female,19.0,1.0,passenger
titanic,male,30.0,1.0,passenger
titanic,male,33.0,0.0,passenger
titanic,male,8.0,1.0,passenger
titanic,male,17.0,1.0,passenger
titanic,male,27.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,22.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,male,62.0,0.0,passenger
titanic,female,48.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,female,39.0,1.0,passenger
titanic,female,36.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,40.0,0.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,female,29.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,32.0,1.0,passenger
titanic,male,62.0,1.0,passenger
titanic,female,53.0,1.0,passenger
titanic,male,36.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,16.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,female,34.0,1.0,passenger
titanic,female,39.0,1.0,passenger
titanic,female,31.0,0.0,passenger
titanic,male,32.0,1.0,passenger
titanic,female,25.0,1.0,passenger
titanic,female,39.0,1.0,passenger
titanic,male,54.0,0.0,passenger
titanic,male,36.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,47.0,0.0,passenger
titanic,male,60.0,1.0,passenger
titanic,male,22.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,35.0,0.0,passenger
titanic,female,52.0,1.0,passenger
titanic,male,47.0,0.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,37.0,0.0,passenger
titanic,male,36.0,0.0,passenger
titanic,female,20.0,1.0,passenger
titanic,male,49.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,49.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,44.0,0.0,passenger
titanic,male,35.0,1.0,passenger
titanic,male,36.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,27.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,female,40.0,1.0,passenger
titanic,female,39.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,35.0,0.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,34.0,0.0,passenger
titanic,female,26.0,0.0,passenger
titanic,female,4.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,27.0,0.0,passenger
titanic,male,42.0,1.0,passenger
titanic,male,20.0,1.0,passenger
titanic,male,21.0,0.0,passenger
titanic,male,21.0,0.0,passenger
titanic,male,61.0,0.0,passenger
titanic,male,57.0,0.0,passenger
titanic,female,21.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,80.0,1.0,passenger
titanic,male,51.0,0.0,passenger
titanic,male,32.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,female,9.0,0.0,passenger
titanic,female,28.0,1.0,passenger
titanic,male,32.0,0.0,passenger
titanic,male,31.0,0.0,passenger
titanic,female,41.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,20.0,0.0,passenger
titanic,female,24.0,1.0,passenger
titanic,female,2.0,0.0,passenger
titanic,male,26.0,1.0,passenger
titanic,female,0.75,1.0,passenger
titanic,male,48.0,1.0,passenger
titanic,male,19.0,0.0,passenger
titanic,male,56.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,23.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,21.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,32.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,male,58.0,0.0,passenger
titanic,male,50.0,1.0,passenger
titanic,male,40.0,0.0,passenger
titanic,male,47.0,0.0,passenger
titanic,male,36.0,0.0,passenger
titanic,male,20.0,1.0,passenger
titanic,male,32.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,43.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,female,40.0,1.0,passenger
titanic,male,31.0,0.0,passenger
titanic,male,70.0,0.0,passenger
titanic,male,31.0,1.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,male,24.5,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,female,43.0,0.0,passenger
titanic,male,36.0,1.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,27.0,1.0,passenger
titanic,male,20.0,0.0,passenger
titanic,male,14.0,0.0,passenger
titanic,male,60.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,14.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,female,15.0,1.0,passenger
titanic,male,31.0,1.0,passenger
titanic,female,4.0,1.0,passenger
titanic,male,26.0,1.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,60.0,0.0,passenger
titanic,male,52.0,0.0,passenger
titanic,male,44.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,49.0,0.0,passenger
titanic,male,42.0,0.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,35.0,1.0,passenger
titanic,female,18.0,0.0,passenger
titanic,male,25.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,39.0,0.0,passenger
titanic,female,45.0,1.0,passenger
titanic,male,42.0,1.0,passenger
titanic,female,22.0,1.0,passenger
titanic,male,6.0,1.0,passenger
titanic,female,24.0,1.0,passenger
titanic,male,41.5,0.0,passenger
titanic,male,48.0,1.0,passenger
titanic,male,29.0,0.0,passenger
titanic,male,52.0,0.0,passenger
titanic,male,19.0,0.0,passenger
titanic,female,38.0,1.0,passenger
titanic,female,27.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,33.0,0.0,passenger
titanic,female,6.0,1.0,passenger
titanic,male,17.0,0.0,passenger
titanic,male,34.0,0.0,passenger
titanic,male,50.0,0.0,passenger
titanic,male,27.0,1.0,passenger
titanic,male,20.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,female,18.0,1.0,passenger
titanic,male,25.0,0.0,passenger
titanic,female,25.0,0.0,passenger
titanic,female,29.0,1.0,passenger
titanic,male,11.0,0.0,passenger
titanic,male,30.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,male,28.5,0.0,passenger
titanic,female,48.0,0.0,passenger
titanic,male,35.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,41.5,1.0,passenger
titanic,male,36.0,0.0,passenger
titanic,female,21.0,1.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,31.0,1.0,passenger
titanic,male,70.0,0.0,passenger
titanic,male,16.0,0.0,passenger
titanic,female,30.0,1.0,passenger
titanic,male,19.0,0.0,passenger
titanic,male,31.0,0.0,passenger
titanic,female,4.0,1.0,passenger
titanic,male,6.0,1.0,passenger
titanic,male,33.0,0.0,passenger
titanic,male,23.0,0.0,passenger
titanic,female,48.0,1.0,passenger
titanic,male,0.67,1.0,passenger
titanic,male,28.0,0.0,passenger
titanic,male,18.0,0.0,passenger
titanic,male,34.0,0.0,passenger
titanic,female,33.0,1.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,41.0,0.0,passenger
titanic,male,20.0,1.0,passenger
titanic,female,36.0,1.0,passenger
titanic,male,16.0,0.0,passenger
titanic,female,51.0,1.0,passenger
titanic,male,47.0,0.0,passenger
titanic,female,30.5,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,male,32.0,0.0,passenger
titanic,male,24.0,0.0,passenger
titanic,male,48.0,0.0,passenger
titanic,female,57.0,0.0,passenger
titanic,male,26.0,0.0,passenger
titanic,female,54.0,1.0,passenger
titanic,male,18.0,0.0,passenger
